gene,Acetic Acid,Citric Acid,"D,L-alpha-Glycerol Phosphate",D-Alanine,D-Fructose,Adenosine,Fumaric Acid,L-Arginine,L-Asparagine,L-Aspartic Acid,L-Glutamic Acid,L-Glutamine,L-Histidine,Glycerol,Glycine,Itaconic Acid,L-Ornithine,L-Phenylalanine,L-Proline,L-Serine,Malonic Acid,L-Alanine,alpha-D-Glucose,Putrescine,Pyruvic Acid,Succinic Acid,alpha-Keto-Glutaric Acid,gamma-Amino Butyric Acid,L-Isoleucine,L-Malic Acid,L-Lactic Acid,L-Leucine,D-Mannitol,2-Aminoethanol,D-Fructose-6-Phosphate,D-Galacturonic Acid,D-Glucose-1-Phosphate,D-Glucose-6-Phosphate,D-Saccharic Acid,D-Glucuronic Acid,D-Sorbitol,D-Xylose,Glycolic Acid,Glycyl-L-Aspartic Acid,L-Methionine,2-Deoxy-D-Ribose,Thymidine,L-Valine,Maltose,Maltotriose,m-Inositol,Mucic Acid,L-Arabinose,Acetoacetic Acid,D-Malic Acid,D-Ribose,D-Serine,Inosine,L-Threonine,Glycyl-L-Glutamic Acid,Glycyl-L-Proline,Hydroxy-L-Proline,Butyric Acid,L-Alanyl-Glycine,L-Lysine,p-Hydroxy Phenyl Acetic Acid,Propionic Acid,Uridine,beta-Hydroxy Butyric Acid,D-Gluconic Acid,D-Arabitol,N-Acetyl-D Glucosamine,D-Galactose,L-Sorbose,Xylitol,4-Hydroxy Benzoic Acid,"D,L-Carnitine",D-Mannose,D-Tartaric Acid,Formic Acid,L-Tartaric Acid,D-Trehalose,m-Tartaric Acid,Citraconic Acid
PA14_70140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-Inf,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_51050,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_64740,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_30180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_30190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-Inf,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_17930,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_24950,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_01600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_54620,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_18120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_02450,1.00000000000143,0.999999999999998,1.00000000000002,0.999999999999937,1.00000000000001,1.00000000000005,1.00000000000005,0.999999999999987,1,0.999999999999995,1.00000000000002,1.00000000000001,1,0.999999999999994,1.00000000000004,1.00000000000001,1.00000000000009,0.999999999999904,0.999999999999936,0.99999999999994,1.00000000000021,1.00000000000011,0.999999999999989,0.999999999999646,0.999999999999946,0.999999999999996,1.00000000000007,0.999999999999619,1.00000000000001,1.00000000000001,1.00000000000002,1.00000000000043,0.999999999999977,1.00000000000037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0000000000002,1.00000000000001,1.00000000000013,1.00000000000002,0.999999999999949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999882,NaN,1,NaN,NaN,NaN,0.999999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_02470,1.00000000000143,0.999999999999998,1.00000000000002,0.999999999999937,1.00000000000001,1.00000000000005,1.00000000000005,0.999999999999987,1,0.999999999999995,1.00000000000002,1.00000000000001,1,0.999999999999994,1.00000000000004,1.00000000000001,1.00000000000009,0.999999999999904,0.999999999999936,0.99999999999994,1.00000000000021,1.00000000000011,0.999999999999989,0.999999999999646,0.999999999999946,0.999999999999996,1.00000000000007,0.999999999999619,1.00000000000001,1.00000000000001,1.00000000000002,1.00000000000043,0.999999999999977,1.00000000000037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0000000000002,1.00000000000001,1.00000000000013,1.00000000000002,0.999999999999949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999882,NaN,1,NaN,NaN,NaN,0.999999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_02680,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_51330,1.00000000000012,1.00000000000017,1.00000000000003,1.00000000000006,1,1,0.999999999999893,0.999999999999978,0.999999999999991,0.999999999999844,1.00000000000006,1.00000000000007,1,1.00000000000022,1.00000000000027,0.999999999999942,0.999999999999912,0.99999999999996,0.999999999999996,0.999999999999975,1.00000000000012,0.999999999999786,0.999999999999995,1.00000000000019,0.999999999999981,0.999999999999794,1.0000000000001,0.999999999999947,0.999999999999999,1.00000000000004,1.00000000000003,1.00000000000038,1,1.00000000000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00000000000001,1.00000000000007,1.00000000000016,1.00000000000003,1.00000000000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999879,NaN,0.99999999999997,NaN,NaN,NaN,0.999999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_54450,1.00000000000012,1.00000000000017,1.00000000000003,1.00000000000006,1,1,0.999999999999893,0.999999999999978,0.999999999999991,0.999999999999844,1.00000000000006,1.00000000000007,1,1.00000000000022,1.00000000000027,0.999999999999942,0.999999999999912,0.99999999999996,0.999999999999996,0.999999999999975,1.00000000000012,0.999999999999786,0.999999999999995,1.00000000000019,0.999999999999981,0.999999999999794,1.0000000000001,0.999999999999947,0.999999999999999,1.00000000000004,1.00000000000003,1.00000000000038,1,1.00000000000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00000000000001,1.00000000000007,1.00000000000016,1.00000000000003,1.00000000000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999879,NaN,0.99999999999997,NaN,NaN,NaN,0.999999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_44740,1.00000000000013,1.00000000000005,1.00000000000013,1.00000000000008,1.00000000000001,0.777067888372114,1,0.999999999999984,1,0.999999999999999,1.00000000000002,0.999999999999945,1,0.99999999999999,0.999999999999997,1,0.999999999999853,0.999999999999959,0.999999999999902,0.999999999999977,1.00000000000024,1.00000000000004,1.00000000000005,0.99999999999997,0.999999999999986,1,1.00000000000003,0.999999999999871,1.00000000000003,0.999999999999998,1.00000000000003,1.00000000000035,1.00000000000001,1.00000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00000000000008,1.00000000000001,0.999999999999995,0.777067888372115,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999877,NaN,0.999999999999916,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_44710,1.00000000000013,1.00000000000005,1.00000000000013,1.00000000000008,1.00000000000001,0.777067888372114,1,0.999999999999984,1,0.999999999999999,1.00000000000002,0.999999999999945,1,0.99999999999999,0.999999999999997,1,0.999999999999853,0.999999999999959,0.999999999999902,0.999999999999977,1.00000000000024,1.00000000000004,1.00000000000005,0.99999999999997,0.999999999999986,1,1.00000000000003,0.999999999999871,1.00000000000003,0.999999999999998,1.00000000000003,1.00000000000035,1.00000000000001,1.00000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00000000000008,1.00000000000001,0.999999999999995,0.777067888372115,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999877,NaN,0.999999999999916,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_44760,1.00000000000013,1.00000000000005,1.00000000000013,1.00000000000008,1.00000000000001,0.777067888372114,1,0.999999999999984,1,0.999999999999999,1.00000000000002,0.999999999999945,1,0.99999999999999,0.999999999999997,1,0.999999999999853,0.999999999999959,0.999999999999902,0.999999999999977,1.00000000000024,1.00000000000004,1.00000000000005,0.99999999999997,0.999999999999986,1,1.00000000000003,0.999999999999871,1.00000000000003,0.999999999999998,1.00000000000003,1.00000000000035,1.00000000000001,1.00000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00000000000008,1.00000000000001,0.999999999999995,0.777067888372115,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999877,NaN,0.999999999999916,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_44060,0.652104213085016,0.918936622008945,1.00000000000004,1.00000000000008,0.999999999999999,1.00000000000001,0.999999999999998,0.978156319627494,0.999999999999998,0.999999999999997,0.918936622008917,0.918936622008965,0.947217578277477,1.00000000000001,0.999999999999991,0.91893662200892,0.978156319627377,0.999999999999966,0.978156319627462,0.999999999999929,0.652104213085167,1.00000000000003,0.999999999999998,0,0.999999999999935,0,0.886117456937185,0,0.316144107262018,0.999999999999983,1,1.00000000000035,1.00000000000005,0.978156319627572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00000000000013,1.00000000000001,1.00000000000014,1,0.986292171361366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999933,NaN,0.999999999999961,NaN,NaN,NaN,0.0815867739740001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_44050,0.652104213085016,0.918936622008945,1.00000000000004,1.00000000000008,0.999999999999999,1.00000000000001,0.999999999999998,0.978156319627494,0.999999999999998,0.999999999999997,0.918936622008917,0.918936622008965,0.947217578277477,1.00000000000001,0.999999999999991,0.91893662200892,0.978156319627377,0.999999999999966,0.978156319627462,0.999999999999929,0.652104213085167,1.00000000000003,0.999999999999998,0,0.999999999999935,0,0.886117456937185,0,0.316144107262018,0.999999999999983,1,1.00000000000035,1.00000000000005,0.978156319627572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00000000000013,1.00000000000001,1.00000000000014,1,0.986292171361366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999933,NaN,0.999999999999961,NaN,NaN,NaN,0.0815867739740001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_44030,0.652104213085016,0.918936622008945,1.00000000000004,1.00000000000008,0.999999999999999,1.00000000000001,0.999999999999998,0.978156319627494,0.999999999999998,0.999999999999997,0.918936622008917,0.918936622008965,0.947217578277477,1.00000000000001,0.999999999999991,0.91893662200892,0.978156319627377,0.999999999999966,0.978156319627462,0.999999999999929,0.652104213085167,1.00000000000003,0.999999999999998,0,0.999999999999935,0,0.886117456937185,0,0.316144107262018,0.999999999999983,1,1.00000000000035,1.00000000000005,0.978156319627572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00000000000013,1.00000000000001,1.00000000000014,1,0.986292171361366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999933,NaN,0.999999999999961,NaN,NaN,NaN,0.0815867739740001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_44020,0.652104213085016,0.918936622008945,1.00000000000004,1.00000000000008,0.999999999999999,1.00000000000001,0.999999999999998,0.978156319627494,0.999999999999998,0.999999999999997,0.918936622008917,0.918936622008965,0.947217578277477,1.00000000000001,0.999999999999991,0.91893662200892,0.978156319627377,0.999999999999966,0.978156319627462,0.999999999999929,0.652104213085167,1.00000000000003,0.999999999999998,0,0.999999999999935,0,0.886117456937185,0,0.316144107262018,0.999999999999983,1,1.00000000000035,1.00000000000005,0.978156319627572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00000000000013,1.00000000000001,1.00000000000014,1,0.986292171361366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999933,NaN,0.999999999999961,NaN,NaN,NaN,0.0815867739740001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_43970,0.999999999999917,1.00000000000002,0.81549983719374,0.951416476726158,0.951416476725995,0.741445971501552,0.951416476726025,1,0.951416476725997,0.951416476726034,1,1,1,0.815499837193687,0,0.999999999999996,0.999999999999781,0.780288241994857,0.999999999999963,0.999999999999946,1.00000000000024,0.951416476725977,0.951416476726008,0.798494450833446,0.999999999999952,0.81549983719371,1,0.798494450833388,0,0.951416476726024,1.00000000000003,0,0.878230593900966,1.00000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.951416476725943,0.951416476726001,1.00000000000014,0.741445971501546,0.787678342206418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999877,NaN,0.999999999999963,NaN,NaN,NaN,0.999999999999924,NaN,NaN,NaN,-Inf,NaN,NaN,NaN,NaN
PA14_35490,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_63850,1.00000000000014,1.00000000000002,1.00000000000001,1.00000000000006,0.999999999999986,0.999999999999975,1.00000000000005,0.999999999999981,1.00000000000011,1.00000000000005,1,1,0.999999999999894,0.999999999999822,0.99999999999994,0.99999999999998,0.999999999999917,0.999999999999932,0.999999999999922,0.999999999999907,1.00000000000023,1,1,0.999999999999951,0.999999999999913,1.00000000000002,0.999999999999961,0.999999999999916,0.999999999999953,0.999999999999965,1.00000000000009,1.00000000000036,1.00000000000001,0.999999999999937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00000000000001,0.999999999999987,1.00000000000014,1.00000000000002,1.00000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999939,NaN,0.999999999999963,NaN,NaN,NaN,1.00000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
